"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Tawaf_Ablation_Model.nlogo"
"ablation_stage0_full_density_sweep"
"07/15/2026 15:33:42:001 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-15","15"
"[run number]","population","base-speed","speed-variation","homogeneous-radius?","avoidance?","density-speed?","sensing-radius","[step]","count turtles","sd-radius","lane-count 0.5 3","overlaps","mean-nn","edge-fraction 0.5","mean-speed"
"5","450","0.8","0.1","true","false","false","3","27","450","2.4814792072645644","4","263","0.5553384734772226","0","0.8512379351700006"
"4","450","0.8","0.1","true","false","false","3","28","450","2.4828234875299837","4","255","0.5516399496573412","0","0.8492451859985689"
"1","450","0.8","0.1","true","false","false","3","25","450","2.6427239488450813","4","269","0.5639908089200633","0","0.8493513102584986"
"2","450","0.8","0.1","true","false","false","3","25","450","2.552956335522999","2","225","0.582961787093555","0","0.8502828740653355"
"3","450","0.8","0.1","true","false","false","3","25","450","2.5194975574112557","5","259","0.5461197661815709","0","0.848093135524556"
"1","450","0.8","0.1","true","false","false","3","26","450","2.6069913734345134","4","266","0.5620038811912744","0","0.8493513102584985"
"4","450","0.8","0.1","true","false","false","3","29","450","2.4509538996421387","2","249","0.5538695078028041","0","0.8492451859985698"
"5","450","0.8","0.1","true","false","false","3","28","450","2.4491872042601996","1","263","0.5565262558079523","0","0.8512379351700003"
"6","1050","0.8","0.1","true","false","false","3","7","1050","3.2589880046970348","6","860","0.38557002932699486","0.03428571428571429","0.8511160176141821"
"1","450","0.8","0.1","true","false","false","3","27","450","2.573139456450575","3","252","0.557935387254101","0","0.8493513102584984"
"2","450","0.8","0.1","true","false","false","3","26","450","2.52120516037862","1","254","0.5767661927931432","0","0.8502828740653359"
"3","450","0.8","0.1","true","false","false","3","26","450","2.4871318974240153","5","253","0.5401810043369215","0","0.8480931355245557"
"5","450","0.8","0.1","true","false","false","3","29","450","2.4185601783060413","2","257","0.5558121579087036","0","0.8512379351700007"
"1","450","0.8","0.1","true","false","false","3","28","450","2.539836126467149","2","244","0.5565249579527499","0","0.849351310258499"
"4","450","0.8","0.1","true","false","false","3","30","450","2.4196083652353124","2","263","0.5562852824414025","0","0.8492451859985689"
"2","450","0.8","0.1","true","false","false","3","27","450","2.489567150903154","1","268","0.5724569559045902","0","0.8502828740653359"
"3","450","0.8","0.1","true","false","false","3","27","450","2.4557928847331962","5","271","0.5410636984207545","0","0.8480931355245561"
"5","450","0.8","0.1","true","false","false","3","30","450","2.3879740481529783","3","254","0.5514598279860797","0","0.8512379351699993"
"2","450","0.8","0.1","true","false","false","3","28","450","2.458285157539268","2","246","0.5704376021466528","0","0.8502828740653362"
"4","450","0.8","0.1","true","false","false","3","31","450","2.3885129254592936","3","261","0.557025190396089","0","0.8492451859985687"
"3","450","0.8","0.1","true","false","false","3","28","450","2.425271732927861","2","270","0.5412964111896895","0","0.8480931355245553"
"1","450","0.8","0.1","true","false","false","3","29","450","2.50742811833846","3","255","0.554594923568806","0","0.8493513102584982"
"5","450","0.8","0.1","true","false","false","3","31","450","2.35575998848084","3","256","0.5490909454272894","0","0.85123793517"
"2","450","0.8","0.1","true","false","false","3","29","450","2.4265439108237254","4","228","0.5679608688653033","0","0.850282874065335"
"4","450","0.8","0.1","true","false","false","3","32","450","2.3575813002153208","4","256","0.5541884344504163","0","0.8492451859985699"
"1","450","0.8","0.1","true","false","false","3","30","450","2.473195199431782","3","280","0.549765573248211","0","0.8493513102584981"
"3","450","0.8","0.1","true","false","false","3","29","450","2.3943168902486702","1","282","0.5389035005747046","0","0.8480931355245556"
